"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Reactjs\amazoneclone\src\Components\Addtocart\Addtocart.js", "JavaScript", 38, 0, 3, 14, 55
"d:\Reactjs\amazoneclone\src\Components\Shop\Shophome.js", "JavaScript", 0, 0, 0, 1, 1
"d:\Reactjs\amazoneclone\src\css\Header.module.css", "CSS", 0, -3, -16, 1, -18
"d:\Reactjs\amazoneclone\src\redux\Action.js", "JavaScript", 6, 0, 0, 1, 7
"d:\Reactjs\amazoneclone\src\redux\Reducer.js", "JavaScript", 6, 0, 0, 1, 7
"Total", "-", 50, -3, -13, 18, 52
